tip	Strain	BioSample	GCA	GCA_noversion	match_source
19ER2370	19ER2370		GCA_039557245.1	GCA_039557245	manual_fiji
19ER4464	19ER4464		GCA_039557325.1	GCA_039557325	manual_fiji
20ER0396	20ER0396	SAMN44062652	GCA_049037125.1	GCA_049037125	master_by_strain
20ER0397	20ER0397	SAMN44062653	GCA_049037145.1	GCA_049037145	master_by_strain
20ER0715	20ER0715	SAMN44062656	GCA_049037205.1	GCA_049037205	master_by_strain
20ER0927	20ER0927	SAMN44062658	GCA_049037285.1	GCA_049037285	master_by_strain
20ER0928	20ER0928	SAMN44062659	GCA_049037295.1	GCA_049037295	master_by_strain
20ER0962	20ER0962	SAMN44062660	GCA_049037325.1	GCA_049037325	master_by_strain
20ER0990	20ER0990	SAMN44062661	GCA_049037345.1	GCA_049037345	master_by_strain
20ER1681	20ER1681	SAMN44062662	GCA_049037615.1	GCA_049037615	master_by_strain
20ER1728	20ER1728	SAMN44062663	GCA_049250035.1	GCA_049250035	master_by_strain
20ER1729	20ER1729	SAMN44062664	GCA_049250075.1	GCA_049250075	master_by_strain
20ER1730	20ER1730	SAMN44062665	GCA_049250095.1	GCA_049250095	master_by_strain
20ER1748	20ER1748	SAMN44062666	GCA_049250115.1	GCA_049250115	master_by_strain
20ER1749	20ER1749	SAMN44062667	GCA_049032065.1	GCA_049032065	master_by_strain
20ER1750	20ER1750	SAMN44062668	GCA_049032235.1	GCA_049032235	master_by_strain
20ER1772	20ER1772	SAMN44062669	GCA_049032285.1	GCA_049032285	master_by_strain
20ER1816	20ER1816	SAMN44062670	GCA_049032635.1	GCA_049032635	master_by_strain
20ER1817	20ER1817	SAMN44062671	GCA_049032665.1	GCA_049032665	master_by_strain
20ER1818	20ER1818	SAMN44062672	GCA_049032485.1	GCA_049032485	master_by_strain
20ER1842	20ER1842	SAMN44062673	GCA_049032785.1	GCA_049032785	master_by_strain
20ER1852	20ER1852	SAMN44062674	GCA_049032995.1	GCA_049032995	master_by_strain
20ER1862	20ER1862	SAMN44062675	GCA_049033225.1	GCA_049033225	master_by_strain
20ER2020	20ER2020	SAMN44062676	GCA_049033295.1	GCA_049033295	master_by_strain
20ER2114	20ER2114		GCA_039556465.1	GCA_039556465	manual_pfr_local
20ER2115	20ER2115		GCA_039556295.1	GCA_039556295	manual_pfr_local
20ER2116	20ER2116		GCA_039556285.1	GCA_039556285	manual_pfr_local
20ER2208	20ER2208	SAMN44062677	GCA_049033345.1	GCA_049033345	master_by_strain
20ER3249	20ER3249	SAMN44062678	GCA_049033455.1	GCA_049033455	master_by_strain
21ER0224	21ER0224	SAMN44062680	GCA_049033755.1	GCA_049033755	master_by_strain
21ER0459	21ER0459	SAMN44062682	GCA_049034005.1	GCA_049034005	master_by_strain
21ER0509	21ER0509	SAMN44062683	GCA_049033945.1	GCA_049033945	master_by_strain
21ER0725	21ER0725	SAMN44062684	GCA_049030475.1	GCA_049030475	master_by_strain
21ER0811	21ER0811	SAMN44062687	GCA_049030895.1	GCA_049030895	master_by_strain
21ER0824	21ER0824	SAMN44062688	GCA_049030955.1	GCA_049030955	master_by_strain
21ER0825	21ER0825	SAMN44062689	GCA_049031175.1	GCA_049031175	master_by_strain
21ER0826	21ER0826	SAMN44062690	GCA_049031275.1	GCA_049031275	master_by_strain
21ER0868	21ER0868	SAMN44062691	GCA_049031315.1	GCA_049031315	master_by_strain
