Collection date check
Input file: data/processed/01_species_confirmed.tsv
Total rows: 19,546
Assembly BioSample Collection date non-missing count: 18,320
Assembly BioSample Collection date missing count: 1,226

Top 50 collection date values/formats and counts:
2014	977
2021	726
2016	715
2023	698
missing	696
2015	645
2019	593
2017	531
2022	504
2013	436
2024	394
2020	382
2009	329
2010	310
2025	260
2008	213
2019-03	198
2018	195
2007	187
Missing	169
2020-06-27	168
2012	160
2011	159
2006	127
1998	117
2013-06	116
<empty>	107
not collected	106
2013-07	97
Not collected	84
2004	79
2000	74
1997	71
2005	71
1999	70
2024-07	55
2018-01	52
2024-08	52
2026	50
1980	46
2025-12	44
2007-07	42
2020-08	42
2020-06-16	40
2019-06-03	40
2002	39
2003	39
1995	39
2021-06	39
2014-05-06	39

Year extraction summary:
Successfully extracted year count: 18,318
Unable to extract year count: 1,228

Genome count by extracted year:
1900	2
1945	2
1950	1
1951	8
1965	1
1967	10
1968	3
1969	1
1970	2
1971	3
1972	4
1973	12
1974	1
1975	5
1976	4
1978	2
1980	46
1981	4
1982	6
1983	3
1984	25
1985	2
1986	1
1987	6
1988	3
1990	36
1991	4
1992	19
1993	24
1994	22
1995	39
1996	36
1997	71
1998	117
1999	75
2000	75
2001	42
2002	49
2003	60
2004	121
2005	113
2006	354
2007	666
2008	477
2009	664
2010	702
2011	407
2012	504
2013	921
2014	1,329
2015	979
2016	1,008
2017	927
2018	620
2019	1,170
2020	1,106
2021	1,600
2022	1,043
2023	1,287
2024	872
2025	530
2026	92
