tip	is_ST50	country	region	source	ST
19ER2032	NO				
19ER2175	NO				
19ER2200	NO				
19ER2252	NO				
19ER2253	NO				
19ER2263	NO				
19ER2264	NO				
19ER2305	NO				
19ER2370	YES	Fiji	Fiji	source:PFR_local	50
19ER2454	NO				
19ER2456	NO				
19ER2457	NO				
19ER2458	NO				
19ER4464	YES	Fiji	Fiji	source:PFR_local	50
20ER0396	YES	New Zealand	Oceania	source:PFR_local	50
20ER0397	YES	New Zealand	Oceania	source:PFR_local	50
20ER0715	YES	New Zealand	Oceania	source:PFR_local	50
20ER0927	YES	New Zealand	Oceania	source:PFR_local	50
20ER0928	YES	New Zealand	Oceania	source:PFR_local	50
20ER0962	YES	New Zealand	Oceania	source:PFR_local	50
20ER0990	YES	New Zealand	Oceania	source:PFR_local	50
20ER1681	YES	New Zealand	Oceania	source:PFR_local	50
20ER1728	YES	New Zealand	Oceania	source:PFR_local	50
20ER1729	YES	New Zealand	Oceania	source:PFR_local	50
20ER1730	YES	New Zealand	Oceania	source:PFR_local	50
20ER1748	YES	New Zealand	Oceania	source:PFR_local	50
20ER1749	YES	New Zealand	Oceania	source:PFR_local	50
20ER1750	YES	New Zealand	Oceania	source:PFR_local	50
20ER1772	YES	New Zealand	Oceania	source:PFR_local	50
20ER1816	YES	New Zealand	Oceania	source:PFR_local	50
20ER1817	YES	New Zealand	Oceania	source:PFR_local	50
20ER1818	YES	New Zealand	Oceania	source:PFR_local	50
20ER1842	YES	New Zealand	Oceania	source:PFR_local	50
20ER1852	YES	New Zealand	Oceania	source:PFR_local	50
20ER1862	YES	New Zealand	Oceania	source:PFR_local	50
20ER2020	YES	New Zealand	Oceania	source:PFR_local	50
20ER2114	YES	New Zealand	Oceania	source:PFR_local	50
20ER2115	YES	New Zealand	Oceania	source:PFR_local	50
20ER2116	YES	New Zealand	Oceania	source:PFR_local	50
20ER2208	YES	New Zealand	Oceania	source:PFR_local	50
20ER3249	YES	New Zealand	Oceania	source:PFR_local	50
2125315691	YES	Australia	Oceania	source:NCBI_background	50
2125709276	YES	Australia	Oceania	source:NCBI_background	50
2125709510	YES	Australia	Oceania	source:NCBI_background	50
2126511214	YES	Australia	Oceania	source:NCBI_background	50
2127005475	YES	Australia	Oceania	source:NCBI_background	50
2127006814	YES	Australia	Oceania	source:NCBI_background	50
2128409799	YES	Australia	Oceania	source:NCBI_background	50
2128710522	YES	Australia	Oceania	source:NCBI_background	50
2130715556	YES	Australia	Oceania	source:NCBI_background	50
2131515216	YES	Australia	Oceania	source:NCBI_background	50
2131709416	YES	Australia	Oceania	source:NCBI_background	50
2131910946	YES	Australia	Oceania	source:NCBI_background	50
2131917478	YES	Australia	Oceania	source:NCBI_background	50
2131917481	YES	Australia	Oceania	source:NCBI_background	50
2131917506	YES	Australia	Oceania	source:NCBI_background	50
2132009659	YES	Australia	Oceania	source:NCBI_background	50
2132215847	YES	Australia	Oceania	source:NCBI_background	50
2132314211	YES	Australia	Oceania	source:NCBI_background	50
2132315476	YES	Australia	Oceania	source:NCBI_background	50
2132315481	YES	Australia	Oceania	source:NCBI_background	50
2132315484	YES	Australia	Oceania	source:NCBI_background	50
2132617705	YES	Australia	Oceania	source:NCBI_background	50
2132617709	YES	Australia	Oceania	source:NCBI_background	50
2132704967	YES	Australia	Oceania	source:NCBI_background	50
2132713513	YES	Australia	Oceania	source:NCBI_background	50
2132812846	YES	Australia	Oceania	source:NCBI_background	50
2133007579	YES	Australia	Oceania	source:NCBI_background	50
21ER0224	YES	New Zealand	Oceania	source:PFR_local	50
21ER0459	YES	New Zealand	Oceania	source:PFR_local	50
21ER0509	YES	New Zealand	Oceania	source:PFR_local	50
21ER0725	YES	New Zealand	Oceania	source:PFR_local	50
21ER0754	NO				
21ER0755	NO				
21ER0811	YES	New Zealand	Oceania	source:PFR_local	50
21ER0824	YES	New Zealand	Oceania	source:PFR_local	50
21ER0825	YES	New Zealand	Oceania	source:PFR_local	50
21ER0826	YES	New Zealand	Oceania	source:PFR_local	50
21ER0868	YES	New Zealand	Oceania	source:PFR_local	50
21ER0942	YES	New Zealand	Oceania	source:PFR_local	50
21ER0952	YES	New Zealand	Oceania	source:PFR_local	50
21ER0953	YES	New Zealand	Oceania	source:PFR_local	50
21ER0954	YES	New Zealand	Oceania	source:PFR_local	50
21ER0955	YES	New Zealand	Oceania	source:PFR_local	50
21ER1334	YES	New Zealand	Oceania	source:PFR_local	50
21ER1438	YES	New Zealand	Oceania	source:PFR_local	50
21ER1445	YES	New Zealand	Oceania	source:PFR_local	50
21ER1446	YES	New Zealand	Oceania	source:PFR_local	50
21ER1500	NO				
21ER4144	YES	New Zealand	Oceania	source:NCBI_background	50
21ER4169	YES	New Zealand	Oceania	source:NCBI_background	50
21ER4253	YES	New Zealand	Oceania	source:NCBI_background	50
21ER4289	YES	New Zealand	Oceania	source:NCBI_background	50
21ER4351	YES	New Zealand	Oceania	source:NCBI_background	50
21ER4493	YES	New Zealand	Oceania	source:NCBI_background	50
2200426959	YES	Australia	Oceania	source:NCBI_background	50
2200426960	YES	Australia	Oceania	source:NCBI_background	50
2201723783	YES	Australia	Oceania	source:NCBI_background	50
2202420409	YES	Australia	Oceania	source:NCBI_background	50
22ER0069	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0089	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0135	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0185	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0187	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0188	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0206	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0207	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0208	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0209	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0210	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0241	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0242	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0243	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0245	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0246	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0247	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0249	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0250	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0252	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0321	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0322	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0323	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0375	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0382	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0471	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0498	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0500	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0573	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0591	YES	New Zealand	Oceania	source:NCBI_background	50
22ER0834	YES	New Zealand	Oceania	source:NCBI_background	50
22ER1171	YES	New Zealand	Oceania	source:NCBI_background	50
22ER1252	YES	New Zealand	Oceania	source:NCBI_background	50
22ER1320	YES	New Zealand	Oceania	source:NCBI_background	50
22ER1364	YES	New Zealand	Oceania	source:NCBI_background	50
22ER1392	YES	New Zealand	Oceania	source:NCBI_background	50
22ER2079	YES	New Zealand	Oceania	source:NCBI_background	50
23ER0215	YES	New Zealand	Oceania	source:NCBI_background	50
23ER0315	YES	New Zealand	Oceania	source:NCBI_background	50
23ER0680	YES	New Zealand	Oceania	source:NCBI_background	50
23ER1085	YES	New Zealand	Oceania	source:NCBI_background	50
23ER2048	YES	New Zealand	Oceania	source:NCBI_background	50
23ER2065	YES	New Zealand	Oceania	source:NCBI_background	50
24ER1709	YES	New Zealand	Oceania	source:NCBI_background	50
25ER0680	YES	New Zealand	Oceania	source:NCBI_background	50
25ER1001	YES	New Zealand	Oceania	source:NCBI_background	50
25ER1194	YES	New Zealand	Oceania	source:NCBI_background	50
25ER1979	YES	New Zealand	Oceania	source:NCBI_background	50
25ER1988	YES	New Zealand	Oceania	source:NCBI_background	50
25ER2006	YES	New Zealand	Oceania	source:NCBI_background	50
25ER2037	YES	New Zealand	Oceania	source:NCBI_background	50
25ER2187	YES	New Zealand	Oceania	source:NCBI_background	50
25ER4026	YES	New Zealand	Oceania	source:NCBI_background	50
25ER4563	YES	New Zealand	Oceania	source:NCBI_background	50
25ER4649	YES	New Zealand	Oceania	source:NCBI_background	50
25ER4745	YES	New Zealand	Oceania	source:NCBI_background	50
A11284	NO				
A11285	NO				
A11286	NO				
A11287	NO				
A11288	NO				
A11289	NO				
A11290	NO				
A11291	NO				
A11292	NO				
A11293	NO				
A11294	NO				
A11295	NO				
A11296	NO				
A11297	NO				
A11298	NO				
A11299	NO				
A11301	NO				
A11302	NO				
A11303	NO				
A11304	NO				
A11305	NO				
A11306	NO				
A11307	NO				
A11308	NO				
A11309	NO				
A11310	NO				
A11311	NO				
A11312	NO				
A11313	NO				
A11314	NO				
A11315	NO				
A11316	NO				
A11317	NO				
A11318	NO				
A11319	NO				
A11320	NO				
A11321	NO				
A11322	NO				
A11323	NO				
A11324	NO				
A11325	NO				
A11326	NO				
A11327	NO				
A11328	NO				
A11329	NO				
A11330	NO				
A11331	NO				
A11332	NO				
A11333	NO				
A11335	NO				
A11336	NO				
A11338	NO				
A11339	NO				
A11340	NO				
A11341	NO				
A11342	NO				
A11344	NO				
A11345	NO				
A11346	NO				
A11347	NO				
A11349	NO				
A11350	NO				
A11351	NO				
A11353	NO				
A11354	NO				
A11355	NO				
A11356	NO				
A11357	NO				
A11358	NO				
A11359	NO				
A11360	NO				
A11361	NO				
A11362	NO				
A11363	NO				
A11367	NO				
A11368	NO				
A11369	NO				
A11370	NO				
A11371	NO				
A11372	NO				
A11373	NO				
A11374	NO				
A11375	NO				
A11376	NO				
AUSMDU00056626	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00065023	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00065256	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00065274	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066124	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066210	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066214	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066215	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066221	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066227	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066358	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066360	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066437	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066531	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00066590	YES	Australia	Oceania	source:NCBI_background	50
AUSMDU00067286	YES	Australia	Oceania	source:NCBI_background	50
CDC_K5485	YES	USA	USA	source:NA_Asia_local	50
GCA_015744865.1	NO				
GCA_015744945.1	NO				
GCA_015744985.1	NO				
GCA_015745065.1	NO				
GCA_015745285.1	NO				
GCA_015745305.1	NO				
GCA_015745365.1	NO				
GCA_015745405.1	NO				
GCA_015745725.1	NO				
GCA_015745805.1	NO				
GCA_015745865.1	NO				
GCA_015745875.1	NO				
GCA_015745945.1	NO				
GCA_015774415.1	NO				
GCA_015774435.1	NO				
GCA_015774615.1	NO				
GCA_015779405.1	NO				
GCA_015779425.1	NO				
GCA_015779445.1	NO				
GCA_015780315.1	NO				
GCA_015780395.1	NO				
GCA_015780435.1	NO				
GCA_015780635.1	NO				
GCA_015780655.1	NO				
GCA_015780695.1	NO				
GCA_015780755.1	NO				
GCA_015782595.1	NO				
GCA_015782695.1	NO				
GCA_015782855.1	NO				
GCA_015784215.1	NO				
GCA_015788135.1	NO				
GCA_015788235.1	NO				
GCA_015908385.1	NO				
GCA_015910125.1	NO				
GCA_015960045.1	NO				
GCA_015960065.1	NO				
GCA_015960085.1	NO				
GCA_015960185.1	NO				
GCA_015960205.1	NO				
GCA_015960225.1	NO				
GCA_015960245.1	NO				
GCA_015960265.1	NO				
GCA_015960385.1	NO				
GCA_015960405.1	NO				
GCA_015960425.1	NO				
GCA_015960445.1	NO				
GCA_015960485.1	NO				
GCA_015960665.1	NO				
GCA_015960685.1	NO				
GCA_015960725.1	NO				
GCA_016146875.1	NO				
GCA_016147415.1	NO				
GCA_016169625.1	NO				
GCA_016216265.1	NO				
GCA_016429525.1	NO				
GCA_016429585.1	NO				
GCA_016429705.1	NO				
GCA_016429785.1	NO				
GCA_016429845.1	NO				
GCA_016429865.1	NO				
GCA_016429905.1	NO				
GCA_016429945.1	NO				
GCA_016429985.1	NO				
GCA_016430025.1	NO				
GCA_016430065.1	NO				
GCA_016430085.1	NO				
GCA_016430165.1	NO				
GCA_016430205.1	NO				
GCA_016432225.1	NO				
GCA_016541065.1	NO				
GCA_016728545.1	NO				
GCA_016728585.1	NO				
