genome_id	source_category	fasta_path	GCA	BioSample	ST	country	year	assembly_status	is_ST50	notes
GCF_009734325.1	background		GCF_009734325.1	SAMN13426200		South Korea: Chunnam	2019	current	NO	source:NCBI_background
GCF_014396885.1	background		GCF_014396885.1	SAMN15594842		USA:Florida	2020	current	NO	source:NCBI_background
GCF_014396905.1	background		GCF_014396905.1	SAMN15594841		USA:Florida	2020	current	NO	source:NCBI_background
GCF_014833015.1	background		GCF_014833015.1	SAMN14121488		Mexico: Sinaloa, Angostura	2019	current	NO	source:NCBI_background
GCF_014833075.1	background		GCF_014833075.1	SAMN14121636		Mexico: Sinaloa, Angostura	2019	current	NO	source:NCBI_background
GCF_014833085.1	background		GCF_014833085.1	SAMN14121637		Mexico: Sinaloa, Angostura	2019	current	NO	source:NCBI_background
GCF_014833125.1	background		GCF_014833125.1	SAMN14122045		Mexico: Sinaloa, Angostura	2019	current	NO	source:NCBI_background
GCF_015680975.1	background		GCF_015680975.1	SAMN16205401		China: Shanghai	2019	current	NO	source:NCBI_background
GCF_015779285.1	background		GCF_015779285.1	SAMN16954303		South Korea: Boryung	2020	current	NO	source:NCBI_background
GCF_019272035.1	background		GCF_019272035.1	SAMN17831988		Thailand: Trang	2019	current	NO	source:NCBI_background
GCF_019272055.1	background		GCF_019272055.1	SAMN17831987		Thailand: Trang	2019	current	NO	source:NCBI_background
GCF_019272075.1	background		GCF_019272075.1	SAMN17831986		Thailand: Trang	2019	current	NO	source:NCBI_background
GCF_019272095.1	background		GCF_019272095.1	SAMN17831985		Thailand: Trang	2019	current	NO	source:NCBI_background
GCF_019272155.1	background		GCF_019272155.1	SAMN17831984		Thailand: Trang	2019	current	NO	source:NCBI_background
GCF_019272235.1	background		GCF_019272235.1	SAMN17831983		Thailand: Trang	2019	current	NO	source:NCBI_background
GCF_019272355.1	background		GCF_019272355.1	SAMN17831982		Thailand: Trang	2019	current	NO	source:NCBI_background
GCF_019272405.1	background		GCF_019272405.1	SAMN17831981		Thailand: Trang	2019	current	NO	source:NCBI_background
GCF_019272495.1	background		GCF_019272495.1	SAMN17831980		Thailand: Nhong Khai	2019	current	NO	source:NCBI_background
GCF_019272575.1	background		GCF_019272575.1	SAMN17831979		Thailand: Nhong Khai	2019	current	NO	source:NCBI_background
GCF_019272675.1	background		GCF_019272675.1	SAMN17831978		Thailand: Nhong Khai	2019	current	NO	source:NCBI_background
GCF_019272715.1	background		GCF_019272715.1	SAMN17831977		Thailand: Nhong Khai	2019	current	NO	source:NCBI_background
GCF_019272755.1	background		GCF_019272755.1	SAMN17831976		Thailand: Nhong Khai	2019	current	NO	source:NCBI_background
GCF_019272875.1	background		GCF_019272875.1	SAMN17831970		Thailand: Yasothon	2019	current	NO	source:NCBI_background
GCF_019273695.1	background		GCF_019273695.1	SAMN17839806		Thailand	2019	current	NO	source:NCBI_background
GCF_019351375.1	background		GCF_019351375.1	SAMN20294544		China:Beihai	2020	current	NO	source:NCBI_background
GCF_019846395.1	background		GCF_019846395.1	SAMN17214563		China	2020	current	NO	source:NCBI_background
