Assembly Accession	Current Accession	Source Database	Organism Name	Organism Taxonomic ID	Assembly BioSample Accession	Assembly BioSample Collection date	Assembly BioSample Geographic location	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Strain	Assembly BioSample Isolate	Assembly Level	Assembly Refseq Category	Assembly Status	Assembly Release Date	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Contig N50	CheckM completeness	CheckM contamination	ANI Best ANI match ANI	ANI Best ANI match Assembly	ANI Best ANI match Assembly Coverage	ANI Best ANI match Type Category	ANI Best ANI match Organism	ANI Best ANI match Type Assembly Coverage	ANI Best match status	ANI Category	ANI Check status	ANI Comment	ANI Declared ANI match ANI	ANI Declared ANI match Assembly	ANI Declared ANI match Assembly Coverage	ANI Declared ANI match Type Category	ANI Declared ANI match Organism	ANI Declared ANI match Type Assembly Coverage	ANI Submitted organism	ANI Submitted species	Annotation BUSCO Complete	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Lineage	Annotation BUSCO Missing	Annotation BUSCO Single Copy	Annotation BUSCO Total Count	Annotation BUSCO Version	Annotation Count Gene Non-coding	Annotation Count Gene Other	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Total	Annotation Method	Annotation Name	Annotation Pipeline	Annotation Provider	Annotation Release Date	Annotation Report URL	Annotation Software Version	Annotation Status	Assembly Assembly Method	Assembly Atypical Is Atypical	Assembly Atypical Warnings	Assembly BioProject Accession	Assembly BioProject Lineage Accession	Assembly BioProject Lineage Parent Accession	Assembly BioProject Lineage Parent Accessions	Assembly BioProject Lineage Title	Assembly BioSample Age	Assembly BioSample Biomaterial provider	Assembly BioSample BioProject Accession	Assembly BioSample BioProject Parent Accession	Assembly BioSample BioProject Parent Accessions	Assembly BioSample BioProject Title	Assembly BioSample Breed	Assembly BioSample Collected by	Assembly BioSample Cultivar	Assembly BioSample Description Comment	Assembly BioSample Description Organism Common Name	Assembly BioSample Description Organism Infraspecific Names Breed	Assembly BioSample Description Organism Infraspecific Names Cultivar	Assembly BioSample Description Organism Infraspecific Names Ecotype	Assembly BioSample Description Organism Infraspecific Names Isolate	Assembly BioSample Description Organism Infraspecific Names Sex	Assembly BioSample Description Organism Infraspecific Names Strain	Assembly BioSample Description Organism Name	Assembly BioSample Description Organism Pangolin Classification	Assembly BioSample Description Organism Taxonomic ID	Assembly BioSample Description Title	Assembly BioSample Development stage	Assembly BioSample Ecotype	Assembly BioSample Host disease	Assembly BioSample Identified by	Assembly BioSample Sample Identifiers Database	Assembly BioSample Sample Identifiers Label	Assembly BioSample Sample Identifiers Value	Assembly BioSample IFSAC category	Assembly BioSample Isolate name alias	Assembly BioSample Last updated	Assembly BioSample Latitude and Longitude	Assembly BioSample Models	Assembly BioSample Owner Contact Lab	Assembly BioSample Owner Name	Assembly BioSample Package	Assembly BioSample Project name	Assembly BioSample Publication date	Assembly BioSample Sample name	Assembly BioSample Serotype	Assembly BioSample Serovar	Assembly BioSample Sex	Assembly BioSample Source type	Assembly BioSample Status Status	Assembly BioSample Status When	Assembly BioSample Sub-species	Assembly BioSample Submission date	Assembly BioSample Tissue	Assembly Blast URL	Assembly Description	Assembly Diploid Role	Assembly Grouping Method	Assembly Linked Assembly Accession	Assembly Linked Assembly Type	Assembly LongName	Assembly Name	Assembly Notes 	Assembly Paired Assembly Accession	Assembly Paired Assembly Changed	Assembly Paired Assembly Differences	Assembly Paired Assembly Manual Diff	Assembly Paired Assembly Name	Assembly Paired Assembly Only Genbank	Assembly Paired Assembly Only RefSeq	Assembly Paired Assembly RefSeq GenBank Are Different	Assembly Paired Assembly Status	Assembly Sequencing Tech	Assembly Submitter	Assembly Suppression Reason	Assembly Synonym	Assembly Type	Assembly Stats ATGC Count	Assembly Stats Contig L50	Assembly Stats Gaps Between Scaffolds Count	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Genome Coverage	Assembly Stats Number of Component Sequences	Assembly Stats Number of Organelles	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Ungapped Length	CheckM completeness percentile	CheckM marker set	CheckM marker set rank	CheckM species tax id	CheckM version	Organelle Assembly Name	Organelle BioProject Accessions	Organelle Description	Organelle Infraspecific Name	Organelle Submitter	Organelle Total Seq Length	Organism Common Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Organism Infraspecific Names Strain	Organism Pangolin Classification	Type Material Display Text	Type Material Label	WGS contigs URL	WGS project accession	WGS URL	biosample_attr_age	biosample_attr_alternate_id	biosample_attr_alternate_name_aliias	biosample_attr_altitude	biosample_attr_animal_env	biosample_attr_annotation_date	biosample_attr_annotation_method	biosample_attr_annotation_pipeline	biosample_attr_annotation_provider	biosample_attr_annotation_software_revision	biosample_attr_anonymized_name	biosample_attr_assembly_method	biosample_attr_attribute_package	biosample_attr_author	biosample_attr_bacterial_density	biosample_attr_biol_stat	biosample_attr_biomaterial_provider	biosample_attr_biotic_relationship	biosample_attr_birth_date	biosample_attr_birth_location	biosample_attr_breed	biosample_attr_breeding_history	biosample_attr_breeding_method	biosample_attr_broker_name	biosample_attr_building_setting	biosample_attr_cds	biosample_attr_cell_line	biosample_attr_cell_subtype	biosample_attr_cell_type	biosample_attr_coll_site_geo_feat	biosample_attr_collected_by	biosample_attr_collection_date	biosample_attr_collection_method	biosample_attr_common_name	biosample_attr_completeness_score	biosample_attr_contamination_score	biosample_attr_countryorigin	biosample_attr_cult_isol_date	biosample_attr_cultivar	biosample_attr_culture_collection	biosample_attr_culturvar	biosample_attr_death_date	biosample_attr_depth	biosample_attr_derived_from	biosample_attr_dev_stage	biosample_attr_disease	biosample_attr_disease_stage	biosample_attr_distinguishing_information	biosample_attr_ecotype	biosample_attr_ena_checklist	biosample_attr_ena_first_public	biosample_attr_ena_last_update	biosample_attr_env_broad_scale	biosample_attr_env_local_scale	biosample_attr_env_medium	biosample_attr_env_package	biosample_attr_environmental_sample	biosample_attr_estimated_size	biosample_attr_external_id	biosample_attr_extraction_date	biosample_attr_extraction_method	biosample_attr_facility_type	biosample_attr_fda_lab_id	biosample_attr_features_annotated	biosample_attr_file_location	biosample_attr_finishing_strategy	biosample_attr_food_industry_code	biosample_attr_food_origin	biosample_attr_food_processing_method	biosample_attr_food_product_type	biosample_attr_food_source	biosample_attr_food_type_processed	biosample_attr_frameshifted_genes	biosample_attr_genes	biosample_attr_genome_coverage	biosample_attr_genotype	biosample_attr_genus	biosample_attr_geo_loc_name	biosample_attr_geo_location	biosample_attr_geographic_location_depth	biosample_attr_geographic_location_latitude	biosample_attr_geographic_location_longitude	biosample_attr_growth_protocol	biosample_attr_health_state	biosample_attr_host	biosample_attr_host_age	biosample_attr_host_body_habitat	biosample_attr_host_common_name	biosample_attr_host_description	biosample_attr_host_disease	biosample_attr_host_disease_outcome	biosample_attr_host_disease_stage	biosample_attr_host_genotype	biosample_attr_host_health_state	biosample_attr_host_life_stage	biosample_attr_host_phenotype	biosample_attr_host_sex	biosample_attr_host_subject_id	biosample_attr_host_taxid	biosample_attr_host_tissue_sampled	biosample_attr_host_type	biosample_attr_identification_method	biosample_attr_identified_by	biosample_attr_ifsac_category	biosample_attr_information	biosample_attr_insdc_center_alias	biosample_attr_insdc_center_name	biosample_attr_insdc_first_public	biosample_attr_insdc_last_update	biosample_attr_insdc_status	biosample_attr_intended_consumer	biosample_attr_investigation_type	biosample_attr_isol_growth_condt	biosample_attr_isolatdate	biosample_attr_isolate	biosample_attr_isolate_name_alias	biosample_attr_isolation_source	biosample_attr_lab	biosample_attr_lab_host	biosample_attr_label	biosample_attr_labid	biosample_attr_laboratory_host	biosample_attr_lat_lon	biosample_attr_locus_tag_prefix	biosample_attr_mating_type	biosample_attr_meatcut	biosample_attr_metagenome_source	biosample_attr_metagenomic	biosample_attr_mlst	biosample_attr_mulitlocus_sequence_type	biosample_attr_ncbi_bioproject	biosample_attr_ncbi_labid	biosample_attr_not_applicable	biosample_attr_note	biosample_attr_notes	biosample_attr_num_replicons	biosample_attr_ontological_term	biosample_attr_organism	biosample_attr_organism_name	biosample_attr_orgmod_note	biosample_attr_oysters_geo_loc	biosample_attr_oysters_lat_lon	biosample_attr_passage_date	biosample_attr_passage_history	biosample_attr_pathotype	biosample_attr_pfge_primaryenzyme_pattern	biosample_attr_pfge_secondaryenzyme_pattern	biosample_attr_phenotype	biosample_attr_potential_contaminant	biosample_attr_project_name	biosample_attr_projectaccession	biosample_attr_pseudo_genes	biosample_attr_publicaccession	biosample_attr_purpose_of_sampling	biosample_attr_raisingclaim1	biosample_attr_ref_biomaterial	biosample_attr_reference_material	biosample_attr_rel_to_oxygen	biosample_attr_replicate	biosample_attr_rrnas	biosample_attr_samp_collect_device	biosample_attr_samp_salinity	biosample_attr_samp_size	biosample_attr_sample_comment	biosample_attr_sample_derived_from	biosample_attr_sample_id	biosample_attr_sample_name	biosample_attr_sample_type	biosample_attr_scientific_name	biosample_attr_sequence_type	biosample_attr_sequenced_by	biosample_attr_sequencing_method	biosample_attr_sequencing_technology	biosample_attr_serotype	biosample_attr_serovar	biosample_attr_similarity	biosample_attr_source_material_id	biosample_attr_source_name	biosample_attr_source_type	biosample_attr_sourcecountry	biosample_attr_sourcecountrystate	biosample_attr_sourcesite	biosample_attr_sourcestate	biosample_attr_species	biosample_attr_specimen_voucher	biosample_attr_state_cntn_id	biosample_attr_stock_number	biosample_attr_store_cond	biosample_attr_strain	biosample_attr_stud_book_number	biosample_attr_sub_species	biosample_attr_subgroup	biosample_attr_submitter_id	biosample_attr_subtype	biosample_attr_supplier_name	biosample_attr_synonym	biosample_attr_tax_id	biosample_attr_tdh	biosample_attr_temp	biosample_attr_tissue	biosample_attr_tmp	biosample_attr_toxicity_note	biosample_attr_treatment	biosample_attr_trh	biosample_attr_trnas	biosample_attr_trophic_level	biosample_attr_type_details	biosample_attr_type_material	biosample_attr_typedetails	biosample_attr_water_environmental_package	biosample_attr_wgs_id	collection_year	geo_location_final
GCA_009734325.1	GCA_009734325.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN13426200	2019-10	South Korea: Chunnam	hepatopancreas	Penaeus vannamei	19-021-D1		Complete Genome		current	2019-12-09	5579380	4	3577848	98.67	1.96	98.5	GCA_030398735.1	82.94	type	Vibrio parahaemolyticus	94.01	species_match	category_na	OK	na	98.5	GCA_030398735.1	82.94	type	Vibrio parahaemolyticus	94.01	Vibrio parahaemolyticus	Vibrio parahaemolyticus									174		5265	115	5554	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2019-12-02		4.10		HGAP v. 3			PRJNA592422	PRJNA592422			Vibrio parahaemolyticus strain:19-021-D1 Genome sequencing and assembly			PRJNA592422							Vibrio parahaemolyticus 19-021-D1, causative agent of Acute Hepatopancreatic Necrosis Disease (AHPND) in Litopenaeus vannamei cultured in Korea								Vibrio parahaemolyticus		670	Microbe sample from Vibrio parahaemolyticus						Sample name	Vibrio parahaemolyticus 19-021-D1			2021-02-28T08:30:49.457		Microbe, viral or environmental		Korea Research Institute of Bioscience & Biotechnology	Microbe.1.0		2019-11-29T00:00:00.000						live	2019-11-29T03:55:03.323		2019-11-29T03:55:03.320									ASM973432v1		GCF_009734325.1				GCF_009734325.1-RS_2026_02_09				current	PacBio RSII; Illumina HiSeq	Korea Research Institute of Bioscience & Biotechnology			haploid	5579380	1		2527788	45.5	249	4		4	1	3577848	4	5579380	45.5355	Vibrio parahaemolyticus	species	670	v1.2.4													19-021-D1																																						2019-10																																														South Korea: Chunnam							Penaeus vannamei																																hepatopancreas																																																			Single cell isolate																					19-021-D1																							2019	South Korea: Chunnam
GCA_014396885.1	GCA_014396885.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN15594842	2020-02	USA:Florida	Marsh seawater	NA	VHT2_MFl		Scaffold		current	2020-09-02	5261907	274	475510	98.75	0.68	98.5	GCA_030398735.1	88.8	type	Vibrio parahaemolyticus	94.92	species_match	category_na	OK	na	98.5	GCA_030398735.1	88.8	type	Vibrio parahaemolyticus	94.92	Vibrio parahaemolyticus	Vibrio parahaemolyticus									140		4909	92	5141	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2020-07-24		4.12		SPAdes v. 1; Mind The Gap v. 1.1			PRJNA608845	PRJNA608845			Genomic resources of Vibrio parahaemolyticus strains			PRJNA608845															Vibrio parahaemolyticus		670	V. parahaemolyticus sample 2 Florida USA					SRA	Sample name	VHT2			2021-02-05T16:13:58.089		Microbe, viral or environmental		University of Exeter	Microbe.1.0		2020-08-31T00:00:00.000						live	2020-08-31T00:50:18.367		2020-07-22T01:08:04.533									ASM1439688v1		GCF_014396885.1				GCF_014396885.1-RS_2026_01_10				current	Illumina HiSeq	University of Exeter			haploid	5261611	3		2374310	45	145	271		271	3	531181		5261611	55.2564	Vibrio parahaemolyticus	species	670	v1.2.4													VHT2_MFl				https://www.ncbi.nlm.nih.gov/Traces/wgs/JACERD01	JACERD01	https://www.ncbi.nlm.nih.gov/nuccore/JACERD000000000.1																																2020-02																																														USA:Florida							NA																																Marsh seawater																																																			mixed culture																					VHT2_MFl																							2020	USA:Florida
GCA_014396905.1	GCA_014396905.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN15594841	2020-02	USA:Florida	Marsh seawater	NA	VHT1_MFl		Scaffold		current	2020-09-02	5115539	62	491388	98.27	1.05	98.46	GCA_001558495.2	91.33	type	Vibrio parahaemolyticus	90.67	species_match	category_na	OK	na	98.46	GCA_001558495.2	91.33	type	Vibrio parahaemolyticus	90.67	Vibrio parahaemolyticus	Vibrio parahaemolyticus									136		4586	47	4769	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2020-07-24		4.12		SPAdes v. 1; Mind The Gap v. 1.1			PRJNA608845	PRJNA608845			Genomic resources of Vibrio parahaemolyticus strains			PRJNA608845															Vibrio parahaemolyticus		670	V. parahaemolyticus sample 1 Florida USA					SRA	Sample name	VHT1			2021-02-05T16:13:58.055		Microbe, viral or environmental		University of Exeter	Microbe.1.0		2020-08-31T00:00:00.000						live	2020-08-31T00:50:18.350		2020-07-22T01:08:04.506									ASM1439690v1		GCF_014396905.1				GCF_014396905.1-RS_2026_01_03				current	Illumina HiSeq	University of Exeter			haploid	5115054	4		2314430	45	145	57		57	3	807591		5115054	23.0053	Vibrio parahaemolyticus	species	670	v1.2.4													VHT1_MFl				https://www.ncbi.nlm.nih.gov/Traces/wgs/JACERE01	JACERE01	https://www.ncbi.nlm.nih.gov/nuccore/JACERE000000000.1																																2020-02																																														USA:Florida							NA																																Marsh seawater																																																			mixed culture																					VHT1_MFl																							2020	USA:Florida
GCA_014833015.1	GCA_014833015.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN14121488	2019-05-22	Mexico: Sinaloa, Angostura	hepatopancreas	Penaeus vannamei	M2401		Contig		current	2020-09-30	5355585	263	67938	98.02	1.73	98.46	GCA_000813305.1	86.64	type	Vibrio parahaemolyticus	92.96	species_match	category_na	OK	na	98.46	GCA_000813305.1	86.64	type	Vibrio parahaemolyticus NBRC 12711	92.96	Vibrio parahaemolyticus	Vibrio parahaemolyticus									84		4896	63	5043	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2020-02-25		4.11		MIX v. 1.0			PRJNA604195	PRJNA604195			Vibrio parahaemolyticus AHPND+ strain			PRJNA604195							Vibrio parahaemolyticus M2401 isolated from AHPND/EMS affected shrimp hepatopancreas								Vibrio parahaemolyticus		670	Vibrio parahaemolyticus M2401						Sample name	Vibrio parahaemolyticus M2401			2020-10-01T18:38:36.643	25.0540 N 108.0502 W	Microbe, viral or environmental		CIAD, A.C.	Microbe.1.0		2020-10-01T18:38:36.643						live	2020-10-01T18:38:36.643		2020-02-17T16:40:06.617									ASM1483301v1		GCF_014833015.1				GCF_014833015.1-RS_2025_04_21				current	Illumina MiniSeq	CIAD, A.C.			haploid	5355584	26		2428231	45.5	39.7	263		263	26	67938		5355585	17.4025	Vibrio parahaemolyticus	species	670	v1.2.3													M2401				https://www.ncbi.nlm.nih.gov/Traces/wgs/JAAKZQ01	JAAKZQ01	https://www.ncbi.nlm.nih.gov/nuccore/JAAKZQ000000000.1																																2019-05-22																																														Mexico: Sinaloa, Angostura							Penaeus vannamei																																hepatopancreas						25.0540 N 108.0502 W																																													cell culture																					M2401																							2019	Mexico: Sinaloa, Angostura
GCA_014833075.1	GCA_014833075.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN14121636	2019-05-22	Mexico: Sinaloa, Angostura	hepatopancreas	Penaeus vannamei	M2411		Contig		current	2020-09-30	5376878	204	78046	97.75	1.45	98.47	GCA_000813305.1	86.26	type	Vibrio parahaemolyticus	92.91	species_match	category_na	OK	na	98.47	GCA_000813305.1	86.26	type	Vibrio parahaemolyticus NBRC 12711	92.91	Vibrio parahaemolyticus	Vibrio parahaemolyticus									142		4893	85	5120	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2020-02-25		4.11		a5 v. 20160825			PRJNA604195	PRJNA604195			Vibrio parahaemolyticus AHPND+ strain			PRJNA604195							Vibrio parahaemolyticus M2411 isolated from AHPND/EMS affected shrimp hepatopancreas								Vibrio parahaemolyticus		670	Vibrio parahaemolyticus M2411						Sample name	Vibrio parahaemolyticus M2411			2020-10-01T18:38:36.660	25.0540 N 108.0502 W	Microbe, viral or environmental		CIAD, A.C.	Microbe.1.0		2020-10-01T18:38:36.660						live	2020-10-01T18:38:36.660		2020-02-17T17:03:06.400									ASM1483307v1		GCF_014833075.1				GCF_014833075.1-RS_2025_04_21				current	Illumina MiniSeq	CIAD, A.C.			haploid	5376572	22		2437599	45.5	80.2	204		204	22	78046		5376878	13.2647	Vibrio parahaemolyticus	species	670	v1.2.3													M2411				https://www.ncbi.nlm.nih.gov/Traces/wgs/JAAKZR01	JAAKZR01	https://www.ncbi.nlm.nih.gov/nuccore/JAAKZR000000000.1																																2019-05-22																																														Mexico: Sinaloa, Angostura							Penaeus vannamei															Shrimp hepatopancreas																	hepatopancreas						25.0540 N 108.0502 W																																													cell culture																					M2411																							2019	Mexico: Sinaloa, Angostura
GCA_014833085.1	GCA_014833085.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN14121637	2019-05-22	Mexico: Sinaloa, Angostura	hepatopancreas	Penaeus vannamei	M2413		Contig		current	2020-09-30	5423118	318	45086	97.73	2.34	98.52	GCA_000813305.1	85.76	type	Vibrio parahaemolyticus	93.17	species_match	category_na	OK	na	98.52	GCA_000813305.1	85.76	type	Vibrio parahaemolyticus NBRC 12711	93.17	Vibrio parahaemolyticus	Vibrio parahaemolyticus									112		4877	115	5104	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2020-02-25		4.11		a5 v. 20160825			PRJNA604195	PRJNA604195			Vibrio parahaemolyticus AHPND+ strain			PRJNA604195							Vibrio parahaemolyticus M2413 isolated from AHPND/EMS affected shrimp hepatopancreas								Vibrio parahaemolyticus		670	Vibrio parahaemolyticus M2413						Sample name	Vibrio parahaemolyticus M2413			2020-10-01T18:38:36.673	25.0540 N 108.0502 W	Microbe, viral or environmental		CIAD, A.C.	Microbe.1.0		2020-10-01T18:38:36.673						live	2020-10-01T18:38:36.673		2020-02-17T17:07:05.780									ASM1483308v1		GCF_014833085.1				GCF_014833085.1-RS_2025_04_21				current	Illumina MiniSeq	CIAD, A.C.			haploid	5422891	38		2455859	45.5	27.5	318		318	38	45086		5423118	13.0073	Vibrio parahaemolyticus	species	670	v1.2.3													M2413				https://www.ncbi.nlm.nih.gov/Traces/wgs/JAAKZS01	JAAKZS01	https://www.ncbi.nlm.nih.gov/nuccore/JAAKZS000000000.1																																2019-05-22																																														Mexico: Sinaloa, Angostura							Penaeus vannamei															Shrimp hepatopancreas																	hepatopancreas						25.0540 N 108.0502 W																																													cell culture																					M2413																							2019	Mexico: Sinaloa, Angostura
GCA_014833125.1	GCA_014833125.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN14122045	2019-05-22	Mexico: Sinaloa, Angostura	hepatopancreas	Penaeus vannamei	M2415		Contig		current	2020-09-30	5411281	391	30846	97.73	2.4	98.53	GCA_000813305.1	86	type	Vibrio parahaemolyticus	93.23	species_match	category_na	OK	na	98.53	GCA_000813305.1	86	type	Vibrio parahaemolyticus NBRC 12711	93.23	Vibrio parahaemolyticus	Vibrio parahaemolyticus									121		4843	125	5089	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2020-02-25		4.11		a5 v. 20160825			PRJNA604195	PRJNA604195			Vibrio parahaemolyticus AHPND+ strain			PRJNA604195							Vibrio parahaemolyticus M2415 isolated from AHPND/EMS affected shrimp hepatopancreas								Vibrio parahaemolyticus		670	Vibrio parahaemolyticus M2415						Sample name	Vibrio parahaemolyticus M2415			2020-10-01T18:38:36.690	25.0540 N 108.0502 W	Microbe, viral or environmental		CIAD, A.C.	Microbe.1.0		2020-10-01T18:38:36.690						live	2020-10-01T18:38:36.690		2020-02-17T17:10:06.670									ASM1483312v1		GCF_014833125.1				GCF_014833125.1-RS_2026_01_16				current	Illumina MiniSeq	CIAD, A.C.			haploid	5411072	59		2449962	45.5	44.6	391		391	59	30846		5411281	13.0073	Vibrio parahaemolyticus	species	670	v1.2.4													M2415				https://www.ncbi.nlm.nih.gov/Traces/wgs/JAAKZT01	JAAKZT01	https://www.ncbi.nlm.nih.gov/nuccore/JAAKZT000000000.1																																2019-05-22																																														Mexico: Sinaloa, Angostura							Penaeus vannamei															Shrimp hepatopancreas																	hepatopancreas						25.0540 N 108.0502 W																																													cell culture																					M2415																							2019	Mexico: Sinaloa, Angostura
GCA_015680975.1	GCA_015680975.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN16205401	2019-01-12	China: Shanghai	feces	Homo sapiens	SH112		Contig		current	2020-11-24	5087915	80	373535	99.38	0.6	98.54	GCA_001558495.2	92.1	type	Vibrio parahaemolyticus	90.94	species_match	category_na	OK	na	98.54	GCA_001558495.2	92.1	type	Vibrio parahaemolyticus	90.94	Vibrio parahaemolyticus	Vibrio parahaemolyticus									82		4538	31	4651	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2020-09-25		4.13		SPAdes v. 3.14.1			PRJNA664306	PRJNA664306			Vibrio parahaemolyticus strain:SH112 Genome sequencing and assembly																		Vibrio parahaemolyticus		670	Microbe sample from Vibrio parahaemolyticus						Sample name	VP-SH112			2021-02-28T10:20:32.765		Microbe, viral or environmental		Shenzhen People's Hospital	Microbe.1.0		2020-11-27T00:00:00.000						live	2020-11-27T00:39:24.903		2020-09-18T06:19:04.736									ASM1568097v1		GCF_015680975.1				GCF_015680975.1-RS_2026_01_30				current	Illumina HiSeq	Shenzhen People's Hospital			haploid	5087915	5		2303898	45.5	135	80		80	5	373535		5087915	77.7272	Vibrio parahaemolyticus	species	670	v1.2.4													SH112				https://www.ncbi.nlm.nih.gov/Traces/wgs/JACYGZ01	JACYGZ01	https://www.ncbi.nlm.nih.gov/nuccore/JACYGZ000000000.1																																2019-01-12																																														China: Shanghai							Homo sapiens																																feces																																																			single cell																					SH112																							2019	China: Shanghai
GCA_015779285.1	GCA_015779285.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN16954303	2020-10	South Korea: Boryung	missing	Penaeus vannamei (Whiteleg shrimp)	20-082A3		Complete Genome		current	2020-12-07	5601613	4	3610915	98.65	1.96	98.5	GCA_030398735.1	82.61	type	Vibrio parahaemolyticus	94.01	species_match	category_na	OK	na	98.5	GCA_030398735.1	82.61	type	Vibrio parahaemolyticus	94.01	Vibrio parahaemolyticus	Vibrio parahaemolyticus									173		5028	74	5275	Best-placed reference protein set; GeneMarkS-2+	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	NCBI	2020-12-01		4.13		HGAP3 v. Nov-2020			PRJNA681469	PRJNA681469			Vibrio parahaemolyticus strain:20-082A3 Genome sequencing			PRJNA681469					Jee Eun Han										Vibrio parahaemolyticus		670	Pathogen: environmental/food/other sample from Vibrio parahaemolyticus						Sample name	Vibrio parahaemolyticus strain 20-082A3			2021-02-24T12:45:04.290	36.36 N 126.54 E	Pathogen.env		Korea Research Institute of Bioscience & Biotechnology	Pathogen.env.1.0		2020-11-30T00:00:00.000						live	2020-11-30T03:50:06.913		2020-11-30T03:50:06.910									ASM1577928v1		GCF_015779285.1				GCF_015779285.1-RS_2026_02_08				current	PacBio RSII; Illumina HiSeq	Korea Research Institute of Bioscience & Biotechnology			haploid	5601613	1		2537388	45.5	183	4		4	1	3610915	4	5601613	43.4963	Vibrio parahaemolyticus	species	670	v1.2.4													20-082A3																																					Jee Eun Han	2020-10																																														South Korea: Boryung							Penaeus vannamei (Whiteleg shrimp)																																missing						36.36 N 126.54 E																																																																		20-082A3																							2020	South Korea: Boryung
GCA_019272035.1	GCA_019272035.1	SOURCE_DATABASE_GENBANK	Vibrio parahaemolyticus	670	SAMN17831988	2019-08-23	Thailand: Trang	Rectal Swab		Colony46		Chromosome		current	2021-07-19	5392094	371	102471	97.59	1.77	98.57	GCA_001558495.2	98.25	type	Vibrio parahaemolyticus	91.78	species_match	category_na	OK	na	98.57	GCA_001558495.2	98.25	type	Vibrio parahaemolyticus	91.78	Vibrio parahaemolyticus	Vibrio parahaemolyticus																						idba_ud v. V1.1.3			PRJNA668870	PRJNA668870			Whole genome Sequencing for food-borne outbreaks in Thailand			PRJNA668870					Department of Disease Control, Ministry of Public Health										Vibrio parahaemolyticus		670	Pathogen: environmental/food/other sample from Vibrio parahaemolyticus						Sample name	Colony46			2021-07-12T07:09:22.069	Not applicable	Pathogen.env		Ministry of Public Health-Thailand	Pathogen.env.1.0		2021-02-07T00:00:00.000						live	2021-02-07T23:54:04.992		2021-02-07T23:54:04.990									ASM1927203v1		GCF_019272035.1				GCF_019272035.1-RS_2025_08_19				current	Illumina HiSeq	Ministry of Public Health-Thailand			haploid	4811810	16		2199231	45.5	85.745	2		2	1	3577848	2	4812974	9.32489	Vibrio parahaemolyticus	species	670	v1.2.4													Colony46																																					Department of Disease Control, Ministry of Public Health	2019-08-23																																														Thailand: Trang																																							Rectal Swab						Not applicable																																																																		Colony46																							2019	Thailand: Trang
