genome_id	source_category	fasta_path	GCA	BioSample	ST	country	year	assembly_status	is_ST50	notes
19ER2370	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/19ER2370_S36_assembly.fna	GCA_039557245		50	Fiji	2019		YES	source:PFR_local
19ER4464	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/19ER4464_S37_assembly.fna	GCA_039557325		50	Fiji	2019		YES	source:PFR_local
20ER0396	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER0396_S39_assembly.fna	GCA_049037125.1	SAMN44062652	50	New Zealand	2020		YES	source:PFR_local
20ER0397	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER0397_S40_assembly.fna	GCA_049037145.1	SAMN44062653	50	New Zealand	2020		YES	source:PFR_local
20ER0715	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER0715_S21_assembly.fna	GCA_049037205.1	SAMN44062656	50	New Zealand	2020		YES	source:PFR_local
20ER0927	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER0927_S41_assembly.fna	GCA_049037285.1	SAMN44062658	50	New Zealand	2020		YES	source:PFR_local
20ER0928	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER0928_S42_assembly.fna	GCA_049037295.1	SAMN44062659	50	New Zealand	2020		YES	source:PFR_local
20ER0962	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER0962_S43_assembly.fna	GCA_049037325.1	SAMN44062660	50	New Zealand	2020		YES	source:PFR_local
20ER0990	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER0990_S44_assembly.fna	GCA_049037345.1	SAMN44062661	50	New Zealand	2020		YES	source:PFR_local
20ER1681	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1681_S39_assembly.fna	GCA_049037615.1	SAMN44062662	50	New Zealand	2020		YES	source:PFR_local
20ER1728	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1728_S46_assembly.fna	GCA_049250035.1	SAMN44062663	50	New Zealand	2020		YES	source:PFR_local
20ER1729	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1729_S47_assembly.fna	GCA_049250075.1	SAMN44062664	50	New Zealand	2020		YES	source:PFR_local
20ER1730	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1730_S48_assembly.fna	GCA_049250095.1	SAMN44062665	50	New Zealand	2020		YES	source:PFR_local
20ER1748	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1748_S49_assembly.fna	GCA_049250115.1	SAMN44062666	50	New Zealand	2020		YES	source:PFR_local
20ER1749	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1749_S50_assembly.fna	GCA_049032065.1	SAMN44062667	50	New Zealand	2020		YES	source:PFR_local
20ER1750	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1750_S51_assembly.fna	GCA_049032235.1	SAMN44062668	50	New Zealand	2020		YES	source:PFR_local
20ER1772	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1772_S52_assembly.fna	GCA_049032285.1	SAMN44062669	50	New Zealand	2020		YES	source:PFR_local
20ER1816	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1816_S40_assembly.fna	GCA_049032635.1	SAMN44062670	50	New Zealand	2020		YES	source:PFR_local
20ER1817	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1817_S23_assembly.fna	GCA_049032665.1	SAMN44062671	50	New Zealand	2020		YES	source:PFR_local
20ER1818	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1818_S24_assembly.fna	GCA_049032485.1	SAMN44062672	50	New Zealand	2020		YES	source:PFR_local
20ER1842	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1842_S17_assembly.fna	GCA_049032785.1	SAMN44062673	50	New Zealand	2020		YES	source:PFR_local
20ER1852	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1852_S18_assembly.fna	GCA_049032995.1	SAMN44062674	50	New Zealand	2020		YES	source:PFR_local
20ER1862	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER1862_S19_assembly.fna	GCA_049033225.1	SAMN44062675	50	New Zealand	2020		YES	source:PFR_local
20ER2020	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER2020_S41_assembly.fna	GCA_049033295.1	SAMN44062676	50	New Zealand	2020		YES	source:PFR_local
20ER2114	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER2114_S51_assembly.fna	GCA_039556465		50	New Zealand	2020		YES	source:PFR_local
20ER2115	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER2115_S52_assembly.fna	GCA_039556295		50	New Zealand	2020		YES	source:PFR_local
20ER2116	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER2116_S53_assembly.fna	GCA_039556285		50	New Zealand	2020		YES	source:PFR_local
20ER2208	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER2208_S37_assembly.fna	GCA_049033345.1	SAMN44062677	50	New Zealand	2020		YES	source:PFR_local
20ER3249	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/20ER3249_S38_assembly.fna	GCA_049033455.1	SAMN44062678	50	New Zealand	2020		YES	source:PFR_local
21ER0224	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0224_S39_assembly.fna	GCA_049033755.1	SAMN44062680	50	New Zealand	2021		YES	source:PFR_local
21ER0459	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0459_S40_assembly.fna	GCA_049034005.1	SAMN44062682	50	New Zealand	2021		YES	source:PFR_local
21ER0509	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0509_S41_assembly.fna	GCA_049033945.1	SAMN44062683	50	New Zealand	2021		YES	source:PFR_local
21ER0725	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0725_S42_assembly.fna	GCA_049030475.1	SAMN44062684	50	New Zealand	2021		YES	source:PFR_local
21ER0811	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0811_S45_assembly.fna	GCA_049030895.1	SAMN44062687	50	New Zealand	2021		YES	source:PFR_local
21ER0824	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0824_S46_assembly.fna	GCA_049030955.1	SAMN44062688	50	New Zealand	2021		YES	source:PFR_local
21ER0825	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0825_S47_assembly.fna	GCA_049031175.1	SAMN44062689	50	New Zealand	2021		YES	source:PFR_local
21ER0826	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0826_S48_assembly.fna	GCA_049031275.1	SAMN44062690	50	New Zealand	2021		YES	source:PFR_local
21ER0868	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0868_S49_assembly.fna	GCA_049031315.1	SAMN44062691	50	New Zealand	2021		YES	source:PFR_local
21ER0942	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0942_S31_assembly.fna	GCA_049030025.1	SAMN44062692	50	New Zealand	2021		YES	source:PFR_local
21ER0952	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0952_S32_assembly.fna	GCA_049030275.1	SAMN44062693	50	New Zealand	2021		YES	source:PFR_local
21ER0953	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0953_S33_assembly.fna	GCA_049030395.1	SAMN44062694	50	New Zealand	2021		YES	source:PFR_local
21ER0955	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER0955_S35_assembly.fna	GCA_049031635.1	SAMN44062696	50	New Zealand	2021		YES	source:PFR_local
21ER1334	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER1334_S34_assembly.fna	GCA_039555455		50	New Zealand	2021		YES	source:PFR_local
21ER1438	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER1438_S29_assembly.fna	GCA_049031695.1	SAMN44062697	50	New Zealand	2021		YES	source:PFR_local
21ER1445	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER1445_S30_assembly.fna	GCA_049031755.1	SAMN44062698	50	New Zealand	2021		YES	source:PFR_local
21ER1446	ST50	/powerplant/output/genomic/bacterial/Vibrio/vibrio_genomics/genomes/assembled/21ER1446_S31_assembly.fna	GCA_049031895.1	SAMN44062699	50	New Zealand	2021		YES	source:PFR_local
SRR15218475	ST50	/workspace/hraxxg/Vp_ST50_Oceania/input/assembled/NA_Asia_ST50/SRR15218475.fas	PubMLST_id:7974	N/A	50	USA	1997		YES	source:NA_Asia_local
SRR15218481	ST50	/workspace/hraxxg/Vp_ST50_Oceania/input/assembled/NA_Asia_ST50/SRR15218481.fas	PubMLST_id:7978	N/A	50	USA	1997		YES	source:NA_Asia_local
SRR15218922	ST50	/workspace/hraxxg/Vp_ST50_Oceania/input/assembled/NA_Asia_ST50/GCA_025067035.1.fna	GCA_025067035.1	SAMN20352555	50	China	2013		YES	source:NA_Asia_local
SRR15219032	ST50	/workspace/hraxxg/Vp_ST50_Oceania/input/assembled/NA_Asia_ST50/SRR15219032.fas	PubMLST_id:8260	N/A	50	USA	1997		YES	source:NA_Asia_local
SRR15219033	ST50	/workspace/hraxxg/Vp_ST50_Oceania/input/assembled/NA_Asia_ST50/GCA_023821265.1.fna	GCA_023821265.1	SAMN20353146	50	China	2015		YES	source:NA_Asia_local
PNUSAV002029	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_019774395.1_GCA_019774395.1_PDT001116817.1_genomic.fna	GCA_019774395.1	SAMN20976192	50	USA	2021		YES	source:NCBI_background
ST50	ST50	data/raw/ncbi_assemblies/pre_2019_st50/batch_001/ncbi_dataset/data/GCA_024483205.1/GCA_024483205.1_PDT001371596.1_genomic.fna	GCA_024483205.1	SAMN23430656	50	Australia	Unkn		YES	source:NCBI_pre2019
CDC_K5485	ST50	/workspace/hraxxg/Vp_ST50_Oceania/input/assembled/NA_Asia_ST50/GCF_001728565.1.fna	GCA_001728565.1	SAMN03358835	50	USA	2007		YES	source:NA_Asia_local
PNUSAV003582	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_026187055.1_GCA_026187055.1_PDT001486249.1_genomic.fna	GCA_026187055.1	SAMN31743121	50	USA	2022		YES	source:NCBI_background
PNUSAV003632	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_028921885.1_GCA_028921885.1_PDT001649587.1_genomic.fna	GCA_028921885.1	SAMN33495990	50	USA	2022		YES	source:NCBI_background
PNUSAV003720	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_031153455.1_GCA_031153455.1_PDT001735183.1_genomic.fna	GCA_031153455.1	SAMN35089521	50	USA	2022		YES	source:NCBI_background
PNUSAV004335	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_031102145.1_GCA_031102145.1_PDT001839725.1_genomic.fna	GCA_031102145.1	SAMN36838897	50	USA	2022		YES	source:NCBI_background
PNUSAV004356	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_031101075.1_GCA_031101075.1_PDT001846982.1_genomic.fna	GCA_031101075.1	SAMN36909166	50	USA	2023		YES	source:NCBI_background
PNUSAV004558	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_031308645.1_GCA_031308645.1_PDT001876765.1_genomic.fna	GCA_031308645.1	SAMN37316152	50	USA	2023		YES	source:NCBI_background
50	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_043311815.1_GCA_043311815.1_PDT002265117.1_genomic.fna	GCA_043311815.1	SAMN42183095	50	Australia	2021		YES	source:NCBI_background
50	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_043311795.1_GCA_043311795.1_PDT002265118.1_genomic.fna	GCA_043311795.1	SAMN42183094	50	Australia	2021		YES	source:NCBI_background
50	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_043311775.1_GCA_043311775.1_PDT002265119.1_genomic.fna	GCA_043311775.1	SAMN42183093	50	Australia	2021		YES	source:NCBI_background
50	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_043311695.1_GCA_043311695.1_PDT002265124.1_genomic.fna	GCA_043311695.1	SAMN42183111	50	Australia	2021		YES	source:NCBI_background
50	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_043307315.1_GCA_043307315.1_PDT002265129.1_genomic.fna	GCA_043307315.1	SAMN42183106	50	Australia	2021		YES	source:NCBI_background
50	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_043307275.1_GCA_043307275.1_PDT002265130.1_genomic.fna	GCA_043307275.1	SAMN42183088	50	Australia	2021		YES	source:NCBI_background
50	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_043307075.1_GCA_043307075.1_PDT002265140.1_genomic.fna	GCA_043307075.1	SAMN42183096	50	Australia	2021		YES	source:NCBI_background
AUSMDU00067286	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044024475.1_GCA_044024475.1_PDT002240132.1_genomic.fna	GCA_044024475.1	SAMN42326795	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066590	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044024515.1_GCA_044024515.1_PDT002240134.1_genomic.fna	GCA_044024515.1	SAMN42326793	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066531	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044024375.1_GCA_044024375.1_PDT002240138.1_genomic.fna	GCA_044024375.1	SAMN42326790	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066437	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044024295.1_GCA_044024295.1_PDT002240142.1_genomic.fna	GCA_044024295.1	SAMN42326786	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066360	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044024075.1_GCA_044024075.1_PDT002240148.1_genomic.fna	GCA_044024075.1	SAMN42326781	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066358	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044024035.1_GCA_044024035.1_PDT002240149.1_genomic.fna	GCA_044024035.1	SAMN42326780	50	Australia	2021		YES	source:NCBI_background
AUSMDU00065274	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023875.1_GCA_044023875.1_PDT002240157.1_genomic.fna	GCA_044023875.1	SAMN42326737	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066227	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023675.1_GCA_044023675.1_PDT002240167.1_genomic.fna	GCA_044023675.1	SAMN42326763	50	Australia	2021		YES	source:NCBI_background
AUSMDU00065256	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023695.1_GCA_044023695.1_PDT002240168.1_genomic.fna	GCA_044023695.1	SAMN42326736	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066221	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023615.1_GCA_044023615.1_PDT002240171.1_genomic.fna	GCA_044023615.1	SAMN42326760	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066215	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023575.1_GCA_044023575.1_PDT002240173.1_genomic.fna	GCA_044023575.1	SAMN42326758	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066214	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023555.1_GCA_044023555.1_PDT002240174.1_genomic.fna	GCA_044023555.1	SAMN42326757	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066210	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023435.1_GCA_044023435.1_PDT002240178.1_genomic.fna	GCA_044023435.1	SAMN42326753	50	Australia	2021		YES	source:NCBI_background
AUSMDU00066124	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023315.1_GCA_044023315.1_PDT002240186.1_genomic.fna	GCA_044023315.1	SAMN42326746	50	Australia	2021		YES	source:NCBI_background
AUSMDU00065023	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023135.1_GCA_044023135.1_PDT002240190.1_genomic.fna	GCA_044023135.1	SAMN42326734	50	Australia	2021		YES	source:NCBI_background
AUSMDU00056626	ST50	data/raw/ncbi_assemblies_flat/ncbi_2019_background/GCA_044023175.1_GCA_044023175.1_PDT002240191.1_genomic.fna	GCA_044023175.1	SAMN42326733	50	Australia	2021		YES	source:NCBI_background
